"","country","population","year","co2_per_capita","co2","cement_co2","coal_co2","flaring_co2","gas_co2","oil_co2"
"1","Australia",19017968,2000,18.384,349.635,3.621,185.781,7.953,46.594,102.337
"2","Australia",19248146,2001,18.554,357.132,3.541,190.067,8.172,49.311,102.583
"3","Australia",19475842,2002,18.564,361.541,3.488,191.131,8.007,50.573,104.516
"4","Australia",19699004,2003,18.746,369.28,3.584,195.37,7.158,49.701,109.571
"5","Australia",19925060,2004,19.213,382.821,3.555,202.21,6.858,52.518,113.766
"6","Australia",20171732,2005,19.143,386.154,3.664,200.7,6.914,54.477,116.508
"7","Australia",20467032,2006,19.172,392.384,3.888,204.385,7.046,55.811,117.4
"8","Australia",20830832,2007,19.184,399.625,3.972,203.543,7.504,61.049,119.474
"9","Australia",21247876,2008,19.025,404.233,3.863,204.671,7.483,61.787,122.328
"10","Australia",21660898,2009,18.793,407.065,3.829,206.05,7.966,63.114,122.367
"11","Australia",22019166,2010,18.398,405.103,3.549,200.536,8.19,64.264,124.557
"12","Australia",22357032,2011,18.063,403.829,3.496,192.125,7.874,66.48,129.808
"13","Australia",22729272,2012,17.869,406.151,3.518,189.138,8.287,67.706,133.684
"14","Australia",23111788,2013,17.216,397.887,3.294,176.347,8.846,69.648,136.181
"15","Australia",23469578,2014,16.786,393.953,3.138,168.13,9.273,71.808,137.599
"16","Australia",23820240,2015,16.868,401.793,3.076,174.189,10.828,72.044,137.629
"17","Australia",24195706,2016,16.997,411.264,2.931,179.55,12.44,75.055,137.375
"18","Australia",24590336,2017,16.85,414.358,3.019,176.906,14.861,76.212,139.461
"19","Australia",24979228,2018,16.665,416.284,2.942,169.37,16.926,79.435,143.712
"20","India",1059633664,2000,0.923,978.104,45.957,572.877,3.111,43.873,312.287
"21","India",1078970880,2001,0.919,991.732,46.74,582.083,3.224,43.569,316.115
"22","India",1098313088,2002,0.931,1022.175,49.111,598.598,2.744,47.134,324.588
"23","India",1117415168,2003,0.947,1058.725,50.88,625.891,2.03,49.988,329.937
"24","India",1136264576,2004,0.99,1124.518,55.545,669.969,1.902,49.585,347.518
"25","India",1154638720,2005,1.026,1184.927,59.687,721.47,1.685,50.439,351.646
"26","India",1172373760,2006,1.074,1258.643,64.905,773.565,1.839,49.442,368.891
"27","India",1189691776,2007,1.141,1356.953,68.333,842.478,2.418,52.696,391.028
"28","India",1206734848,2008,1.211,1461.518,73.245,910.796,2.114,63.047,412.316
